cohort,task,count,encoder,mean_nrmse,mean_nmse,native_rmse,median_person_nrmse,p95_person_nrmse,participants
hcp83,known,8,amp12,0.13948053014861758,0.01996920878037246,10.871555132836,0.13768425007180643,0.1616204938039886,729
hcp83,known,8,amp18,0.13721118823828482,0.01937100611695574,10.694111105057699,0.13483331359817355,0.16070382045088427,729
hcp83,known,8,heat_norm18,0.15335806953625156,0.024059170437947468,11.95344453135276,0.15160096060291178,0.1736565378514808,729
hcp83,known,8,heat_raw18,0.14748949813572368,0.022149792497074144,11.495683040585597,0.145735657651599,0.1676278810784607,729
hcp83,known,8,moments,0.22245495419171182,0.050238982037513175,17.350903852157984,0.22231642205655397,0.23681664278804293,729
hcp83,known,8,prob18,0.16025530726823167,0.02630508704819822,12.4930500233476,0.1579900068890461,0.18532287000912004,729
hcp83,known,8,prob6,0.16463334783865569,0.02770857476228034,12.835663458174519,0.1620434657654682,0.1877886002438189,729
hcp83,known,8,qsf,0.13348052192966198,0.018377222713405625,10.403761749146465,0.13113824284347333,0.1567335907375649,729
hcp83,known,8,shortest_path,0.19201460585316768,0.03763367792954957,14.973492571654713,0.18953022312323978,0.21438282218528276,729
hcp83,known,16,amp12,0.12444898934643098,0.015989884648063207,9.69795052243736,0.12255644221542555,0.14672795183400356,729
hcp83,known,16,amp18,0.12275236458962899,0.015601135669707037,9.565470772257795,0.12043280787937394,0.14442104345240225,729
hcp83,known,16,heat_norm18,0.13742118555877164,0.019395656262876558,10.707818337063008,0.1355152667849428,0.1590828010121056,729
hcp83,known,16,heat_raw18,0.13460455224241763,0.01852824027357432,10.488242968755339,0.13312818964693765,0.1542710807100968,729
hcp83,known,16,moments,0.20288776035660513,0.04194856174331165,15.821215652453821,0.20225966985085242,0.2182430411325004,729
hcp83,known,16,prob18,0.13500029699720723,0.018870754058069157,10.521231104306418,0.1325357537740582,0.15840605891440632,729
hcp83,known,16,prob6,0.1390460837409574,0.019972852419182018,10.837684239782007,0.13691678992105974,0.16261074499403416,729
hcp83,known,16,qsf,0.11838168675399752,0.01457423053354622,9.225068994520154,0.11640267184388442,0.1400892793519222,729
hcp83,known,16,shortest_path,0.16834893795070527,0.028905875407328845,13.124934659690664,0.1658426596753079,0.190581710175969,729
hcp83,known,32,amp12,0.10946717810029531,0.01243848782354344,8.529717693336496,0.10741497787777239,0.13085914297384824,729
hcp83,known,32,amp18,0.10794906067991294,0.01214229799845857,8.411519424542846,0.10601147051790899,0.1291248170724445,729
hcp83,known,32,heat_norm18,0.12021560112769988,0.014873363589212677,9.366040171943627,0.11888017364052261,0.14103765343238794,729
hcp83,known,32,heat_raw18,0.1190581663614296,0.014553218964742725,9.275300813522467,0.11721599074079869,0.14079393195890344,729
hcp83,known,32,moments,0.18640456822393592,0.03537809881938737,14.533338793477805,0.18594760863931983,0.20191978134199712,729
hcp83,known,32,prob18,0.1140692332441805,0.013496326464751905,8.887639744576008,0.1124120875404942,0.1355528147213587,729
hcp83,known,32,prob6,0.1167380168563569,0.014110062894843008,9.095947610226784,0.11491021775178926,0.13843243744197467,729
hcp83,known,32,qsf,0.10455338090039522,0.011436301962893618,8.146883292893888,0.10268263414187019,0.12487771590629729,729
hcp83,known,32,shortest_path,0.14696288639337224,0.02215233901261525,11.452565008815723,0.14467011392997098,0.16978457110901632,729
hcp83,unseen,8,heat_norm18,0.20453676636843351,0.042335882185327384,15.948293212177836,0.2046636391095373,0.2213891345524211,729
hcp83,unseen,8,heat_raw18,0.19384010093544382,0.03803899922464868,15.1128807507044,0.19320272811556846,0.21091860065124704,729
hcp83,unseen,8,qsf,0.18789886166369754,0.03587984216370075,14.64928622427045,0.18724670482371544,0.20857330190740392,729
hcp83,unseen,8,shortest_path,0.22330171982351743,0.05070686365748205,17.41093861407526,0.2210924806139134,0.24460019800114813,729
hcp83,unseen,8,template_qsf,0.5538497350658679,0.3392081266117568,43.217842652280694,0.5350515335415993,0.7320637304467766,729
hcp83,unseen,16,heat_norm18,0.19816717972162337,0.03972586287781147,15.449253236148195,0.19750193276906117,0.21506417233551578,729
hcp83,unseen,16,heat_raw18,0.18930495515114246,0.03630426763877596,14.756444799873577,0.18853586147731358,0.2086231227267273,729
hcp83,unseen,16,qsf,0.18030198838177486,0.03308766029844583,14.054966311772846,0.17948611843350548,0.200107761964097,729
hcp83,unseen,16,shortest_path,0.2079806780897895,0.044057699372000714,16.214293814077365,0.20637078748103724,0.22730841259161214,729
hcp83,unseen,16,template_qsf,0.2733330675635321,0.08019325553422334,21.318697977785046,0.27518151124484663,0.33340102204517635,729
