cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
hcp83,8,qsf,selected_robust minus random_robust,normalized_rmse,-0.010704624079467484,-0.011218751109931913,-0.01018137381120997,0.9423868312757202,729
hcp83,8,qsf,selected_robust minus random_robust,normalized_mse,-0.002888329837049616,-0.0030300292758400596,-0.0027561187775962137,0.9478737997256516,729
hcp83,8,qsf,random_robust minus random_ordinary,normalized_rmse,-0.0024704041883168272,-0.0027290377371563743,-0.0022264484455543736,0.8120713305898491,729
hcp83,8,qsf,random_robust minus random_ordinary,normalized_mse,-0.0007147633241743475,-0.0007958597519901368,-0.0006402177225146796,0.823045267489712,729
hcp83,8,qsf,ordinary_selected minus random_ordinary,normalized_rmse,-0.011553214582879284,-0.012054841667963907,-0.01105123206730706,0.9574759945130316,729
hcp83,8,qsf,ordinary_selected minus random_ordinary,normalized_mse,-0.0031698625952634066,-0.0033077502464164306,-0.0030330299968994133,0.9615912208504801,729
hcp83,8,qsf,selected_sources_ordinary minus random_ordinary,normalized_rmse,-0.011553214582879284,-0.012066947687118657,-0.011042424559470902,0.9574759945130316,729
hcp83,8,qsf,selected_sources_ordinary minus random_ordinary,normalized_mse,-0.0031698625952634066,-0.003309397184739623,-0.003033533317094182,0.9615912208504801,729
hcp83,8,qsf,selected_robust minus selected_sources_ordinary,normalized_rmse,-0.0016218136849050263,-0.0018659712102712183,-0.0013862904625927834,0.691358024691358,729
hcp83,8,qsf,selected_robust minus selected_sources_ordinary,normalized_mse,-0.00043323056596055706,-0.0005022331707883635,-0.0003688193687565798,0.6831275720164609,729
hcp83,8,qsf,selected_robust minus random_ordinary,normalized_rmse,-0.013175028267784312,-0.013739180807825739,-0.012626225943918613,0.9657064471879286,729
hcp83,8,qsf,selected_robust minus random_ordinary,normalized_mse,-0.0036030931612239634,-0.003757270773170296,-0.003442835332700363,0.9739368998628258,729
hcp83,8,qsf,spatial_robust minus selected_robust,normalized_rmse,0.0048879084860563955,0.004450459484935608,0.005328242127226003,0.18518518518518517,729
hcp83,8,qsf,spatial_robust minus selected_robust,normalized_mse,0.0012356835053272664,0.0011165422549086275,0.0013557264953628922,0.18244170096021947,729
hcp83,8,qsf,floor_random_robust minus random_robust,normalized_rmse,0.0055231455566016234,0.005307098170998889,0.005731820830880223,0.02880658436213992,729
hcp83,8,qsf,floor_random_robust minus random_robust,normalized_mse,0.0014743494982004085,0.0014101721590086516,0.0015407652291775677,0.02606310013717421,729
hcp83,8,qsf,random_robust minus template_random_robust,normalized_rmse,0.09640116933773728,0.09542825636622397,0.09737878144583949,0.0,729
hcp83,8,qsf,random_robust minus template_random_robust,normalized_mse,0.016785957087032462,0.01655914200285031,0.017023739297761867,0.0,729
hcp83,8,qsf,selected_robust minus template_selected_robust,normalized_rmse,0.08775828864990909,0.086945225676221,0.08860166574692223,0.0,729
hcp83,8,qsf,selected_robust minus template_selected_robust,normalized_mse,0.01410401821790785,0.013902909134262996,0.014314541110135949,0.0,729
hcp83,8,qsf,random_projection minus random_bounded_residual,normalized_rmse,0.0025070373985919105,0.0022462432132924317,0.002770132681938592,0.2030178326474623,729
hcp83,8,qsf,random_projection minus random_bounded_residual,normalized_mse,0.0007229450765393897,0.0006455939712896867,0.0008074733901369263,0.19615912208504802,729
hcp83,8,qsf,random_robust minus atlas_random_aligned,normalized_rmse,0.10775356975642779,0.10687894913868295,0.10866110773901308,0.0,729
hcp83,8,qsf,random_robust minus atlas_random_aligned,normalized_mse,0.017684789607110528,0.01743000944646222,0.017954679724526915,0.0,729
hcp83,8,qsf,selected_robust minus atlas_selected_aligned,normalized_rmse,0.09704747408362596,0.0962454071975188,0.0979220886347255,0.0,729
hcp83,8,qsf,selected_robust minus atlas_selected_aligned,normalized_mse,0.01480001887145087,0.014579761193828573,0.01504118426146222,0.0,729
hcp83,8,qsf,random_projection minus template_random_projection,normalized_rmse,0.09699303283760297,0.09598934692193069,0.09793885874261828,0.0,729
hcp83,8,qsf,random_projection minus template_random_projection,normalized_mse,0.01733398300158466,0.017076631360030698,0.017609798393322114,0.0,729
hcp83,8,qsf,random_bounded_residual minus template_random_bounded_residual,normalized_rmse,0.09633200725132668,0.09534466909612913,0.09731242908897504,0.0,729
hcp83,8,qsf,random_bounded_residual minus template_random_bounded_residual,normalized_mse,0.016766937906536467,0.016538218133432103,0.017009101333383327,0.0,729
hcp83,8,qsf,selected_projection minus template_selected_projection,normalized_rmse,0.08781358729774429,0.08698881810558834,0.08866923006393736,0.0,729
hcp83,8,qsf,selected_projection minus template_selected_projection,normalized_mse,0.014387962080356488,0.014172271371758227,0.01461933773474504,0.0,729
hcp83,8,qsf,selected_bounded_residual minus template_selected_bounded_residual,normalized_rmse,0.08775828864990909,0.08695998693093775,0.08856579555276596,0.0,729
hcp83,8,qsf,selected_bounded_residual minus template_selected_bounded_residual,normalized_mse,0.01410401821790785,0.013904961133877106,0.01431120370427085,0.0,729
hcp83,8,heat_raw18,selected_robust minus random_robust,normalized_rmse,-0.01018368007714464,-0.01067724607191644,-0.009718788405535918,0.9506172839506173,729
hcp83,8,heat_raw18,selected_robust minus random_robust,normalized_mse,-0.0029858566586052743,-0.003130959472997185,-0.0028438931536497168,0.9547325102880658,729
