cohort,source_count,encoder,track,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,heat_norm18,atlas_random_aligned,0.025726952173234157,0.0006924331062950513,0.02573558473581795,0.035059068691706996,0.042508793553425114,0.0945025532909163,0,729,3189
hcp83,8,heat_norm18,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,heat_norm18,atlas_selected_aligned,0.0256071688424837,0.0006821494003544914,0.025612192550957286,0.03422867589467754,0.04093596926661521,0.0801543123773862,0,729,3189
hcp83,8,heat_norm18,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,heat_norm18,floor_random_robust,0.15166089268732488,0.0235629503018725,0.15179763154587644,0.19069750866593227,0.20970021350051601,0.2743414811857758,0,729,3189
hcp83,8,heat_norm18,ordinary_selected,0.14241102655662952,0.02063058784537076,0.14249501987950852,0.17412679851654575,0.19930583252180176,0.2455066097765004,0,729,3189
hcp83,8,heat_norm18,random_bounded_residual,0.1533580695362515,0.02405917043794742,0.15349005485828396,0.1921540884104766,0.20981940391837817,0.3085528050652203,0,729,3189
hcp83,8,heat_norm18,random_ordinary,0.15607202130409262,0.02495019454279752,0.15617132625477054,0.19601944710457198,0.21651724073628584,0.3985537342915873,0,729,3189
hcp83,8,heat_norm18,random_projection,0.1551184407142685,0.024614308166796856,0.15522163870966893,0.1949082732233452,0.21369756431603038,0.2780402255124449,0,729,3189
hcp83,8,heat_norm18,random_robust,0.1533580695362515,0.02405917043794742,0.15349005485828396,0.1921540884104766,0.20981940391837817,0.3085528050652203,0,729,3189
hcp83,8,heat_norm18,selected_bounded_residual,0.14090186299070007,0.020192306534490025,0.14104504964699885,0.17226564428951502,0.19465474482938994,0.2405089146686303,0,729,3189
hcp83,8,heat_norm18,selected_projection,0.14228645349292346,0.02059884303404267,0.14241578492933646,0.17416541295023297,0.19764100185831324,0.2455066097765004,0,729,3189
hcp83,8,heat_norm18,selected_robust,0.14090186299070007,0.020192306534490025,0.14104504964699885,0.17226564428951502,0.19465474482938994,0.2405089146686303,0,729,3189
hcp83,8,heat_norm18,selected_sources_ordinary,0.142585284134273,0.02068945995009412,0.14272647569174246,0.17494374608410784,0.19934202165839113,0.2455066097765004,0,729,3189
hcp83,8,heat_norm18,spatial_robust,0.14465288823226427,0.02132168933976498,0.14471023438789055,0.1788434013393035,0.19565960407454194,0.2164101366031531,0,729,3189
hcp83,8,heat_norm18,template_random_bounded_residual,0.03741915950446762,0.0016297817630628445,0.03726264902349105,0.06586905911578392,0.09248702679007707,0.1557832124043776,0,729,3189
hcp83,8,heat_norm18,template_random_projection,0.03923546598912719,0.0017856601956675062,0.03902006021750775,0.06832158071023035,0.09556397001431778,0.1545927933155236,0,729,3189
hcp83,8,heat_norm18,template_random_robust,0.03741915950446762,0.0016297817630628445,0.03726264902349105,0.06586905911578392,0.09248702679007707,0.1557832124043776,0,729,3189
hcp83,8,heat_norm18,template_selected_bounded_residual,0.035973175141005946,0.0014828753630040216,0.03584045139036025,0.061282270652868204,0.08713497208895556,0.1370393121373352,0,729,3189
hcp83,8,heat_norm18,template_selected_projection,0.037593116419881646,0.00161786764537291,0.03739139629426538,0.06374913862227617,0.09022041461760905,0.1376245532467956,0,729,3189
hcp83,8,heat_norm18,template_selected_robust,0.035973175141005946,0.0014828753630040216,0.03584045139036025,0.061282270652868204,0.08713497208895556,0.1370393121373352,0,729,3189
hcp83,8,heat_raw18,atlas_random_aligned,0.025726952173234157,0.0006924331062950513,0.02573558473581795,0.035059068691706996,0.042508793553425114,0.0945025532909163,0,729,3189
hcp83,8,heat_raw18,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,heat_raw18,atlas_selected_aligned,0.02499731557237991,0.000647209332069269,0.02504769770845729,0.0330717999323614,0.037372997049948384,0.0786222368972213,0,729,3189
hcp83,8,heat_raw18,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,heat_raw18,floor_random_robust,0.14765757560397164,0.02220806170683374,0.14776548801263334,0.18062868692454936,0.19863973991413114,0.2713402064896317,0,729,3189
hcp83,8,heat_raw18,ordinary_selected,0.1399105210631333,0.019916117805562714,0.14003598566657405,0.1726729966658329,0.1948238362770832,0.2273388509989806,0,729,3189
hcp83,8,heat_raw18,random_bounded_residual,0.14748949813572362,0.022149792497074095,0.14758529011069402,0.18029729810364498,0.19854272356672817,0.2772152102739302,0,729,3189
hcp83,8,heat_raw18,random_ordinary,0.15066759373782543,0.023141525829377698,0.15076454265160166,0.18551415090758686,0.20581598335332843,0.3324310942837584,0,729,3189
hcp83,8,heat_raw18,random_projection,0.15046025719300554,0.02306499088992645,0.15053207586004844,0.1844655027992206,0.20507772212088246,0.27137788560588,0,729,3189
hcp83,8,heat_raw18,random_robust,0.14748949813572362,0.022149792497074095,0.14758529011069402,0.18029729810364498,0.19854272356672817,0.2772152102739302,0,729,3189
hcp83,8,heat_raw18,selected_bounded_residual,0.13730581805857897,0.019163935838468815,0.13749444468976474,0.16812735107792745,0.18676457756105944,0.2185486333202282,0,729,3189
hcp83,8,heat_raw18,selected_projection,0.14003964741243874,0.019933394037358144,0.14021991718035695,0.17166821490653517,0.19258559510053366,0.2273388509989806,0,729,3189
hcp83,8,heat_raw18,selected_robust,0.13730581805857897,0.019163935838468815,0.13749444468976474,0.16812735107792745,0.18676457756105944,0.2185486333202282,0,729,3189
hcp83,8,heat_raw18,selected_sources_ordinary,0.14036835818197224,0.02003238067258872,0.14056087113510285,0.17250059044391997,0.19312985863061247,0.2273388509989806,0,729,3189
hcp83,8,heat_raw18,spatial_robust,0.14214972686037705,0.020566225088455813,0.14220111542154096,0.17497847021265983,0.19102622445878878,0.2156662746461802,0,729,3189
hcp83,8,heat_raw18,template_random_bounded_residual,0.037858711976545924,0.001652417742747841,0.03772117075775326,0.06543699045205913,0.09126890328441677,0.1549417870167735,0,729,3189
hcp83,8,heat_raw18,template_random_projection,0.039633669024682294,0.0018075358676171661,0.03944034829356819,0.06827267382948997,0.09428613680073199,0.1539834775069934,0,729,3189
hcp83,8,heat_raw18,template_random_robust,0.037858711976545924,0.001652417742747841,0.03772117075775326,0.06543699045205913,0.09126890328441677,0.1549417870167735,0,729,3189
hcp83,8,heat_raw18,template_selected_bounded_residual,0.03578751152675993,0.001434623580569894,0.035672260897904914,0.05842018187341591,0.08202325513964259,0.1296135806916563,0,729,3189
hcp83,8,heat_raw18,template_selected_projection,0.03723048060793654,0.0015650931279718252,0.03707783584559902,0.061749040210269994,0.08833801509470039,0.1376592787054354,0,729,3189
hcp83,8,heat_raw18,template_selected_robust,0.03578751152675993,0.001434623580569894,0.035672260897904914,0.05842018187341591,0.08202325513964259,0.1296135806916563,0,729,3189
hcp83,8,qsf,atlas_random_aligned,0.025726952173234157,0.0006924331062950513,0.02573558473581795,0.035059068691706996,0.042508793553425114,0.0945025532909163,0,729,3189
hcp83,8,qsf,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,qsf,atlas_selected_aligned,0.025728423766568493,0.0006888740049050915,0.025742136265848755,0.03453118556929256,0.04120437881846999,0.0777981725986299,0,729,3189
hcp83,8,qsf,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,8,qsf,floor_random_robust,0.13900366748626355,0.019851572211605988,0.13909925842201942,0.1752741754269937,0.20039835649106083,0.3010495707052339,0,729,3189
hcp83,8,qsf,ordinary_selected,0.12439771153509949,0.015922123442316517,0.12447002612253559,0.16055838314783163,0.18510785640334518,0.2116324624287351,0,729,3189
hcp83,8,qsf,random_bounded_residual,0.13341135984325134,0.01835820353290958,0.133421141645929,0.17143742938185236,0.19350856935013516,0.2390168553203153,0,729,3189
hcp83,8,qsf,random_ordinary,0.13595092611797877,0.019091986037579927,0.13596693834807602,0.1764680341721979,0.2018654528107558,0.2562848721267452,0,729,3189
hcp83,8,qsf,random_projection,0.13591839724184326,0.019081148609448973,0.13593590007220793,0.1763640950170254,0.2018654528107558,0.2561778450961945,0,729,3189
hcp83,8,qsf,random_robust,0.13348052192966195,0.018377222713405576,0.13349052259054775,0.17165891029288324,0.19451204300799724,0.2390168553203153,0,729,3189
hcp83,8,qsf,selected_bounded_residual,0.12277589785019447,0.015488892876355962,0.1228189473659398,0.1574905526528484,0.1785971512189897,0.2070859936022621,0,729,3189
