cohort,source_count,encoder,track,split_id,mask_id,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,heat_norm18,atlas_random_aligned,1,1,0.025411690795930093,0.0006669034075423427,0.025411690795930093,0.03312611839809636,0.03671275292338038,0.0406264951091397,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,1,2,0.024622064397814763,0.0006252582590140666,0.024622064397814763,0.03293078033637596,0.03714388227155503,0.039195244428956,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,1,3,0.023484435755526053,0.0005660833877232089,0.023484435755526053,0.03046443589965996,0.03374415969697508,0.0354801504161178,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,2,1,0.024343581220994975,0.0006100260499983019,0.024343581220994975,0.03183278595567725,0.03493010747112405,0.0397651617407871,0,211,211
hcp83,8,heat_norm18,atlas_random_aligned,2,2,0.029219248049171746,0.0008898226063460535,0.029219248049171746,0.04035598019704465,0.043640213317541435,0.0568790930311739,0,211,211
hcp83,8,heat_norm18,atlas_random_aligned,2,3,0.02431901794417835,0.0006058967602890294,0.02431901794417835,0.0314648791312634,0.03495676916763588,0.0374959659852355,0,211,211
hcp83,8,heat_norm18,atlas_random_aligned,3,1,0.024730906463013538,0.0006531484168998724,0.024730906463013538,0.03179357474654134,0.040790483369976926,0.0945025532909163,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,3,2,0.027450797637098664,0.000791059110230837,0.027450797637098664,0.037024116909136075,0.045339548705375675,0.0731361954459171,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,3,3,0.025553810652680496,0.0006833279950977621,0.025553810652680496,0.03548397100816241,0.039940031334667773,0.0666196413886471,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,4,1,0.02646720531543146,0.0007245013445415778,0.02646720531543146,0.03509476686445103,0.04122645348312456,0.041624409548107,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,4,2,0.03019879080773907,0.0009595223042596958,0.03019879080773907,0.044961604804316484,0.05076778917813572,0.0519007373226938,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,4,3,0.02514074837277119,0.0006496941470187817,0.02514074837277119,0.03302315106725757,0.037994246958928404,0.0406792291010091,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,5,1,0.024784803714618858,0.0006483571227988446,0.024784803714618858,0.03287365277710542,0.039091630807035524,0.0801543123773862,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,5,2,0.025009705186758175,0.0006531585538164786,0.025009705186758175,0.03155791345797043,0.03479690091361158,0.0781467463102763,0,213,213
hcp83,8,heat_norm18,atlas_random_aligned,5,3,0.025303303625014963,0.0006711103364001566,0.025303303625014963,0.03278660363813005,0.03844536147624113,0.0755507659190455,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,1,1,0.05757027747563375,0.004191696055470228,0.05757027747563375,0.09652195446537119,0.2039796739593863,0.2434485207866918,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,1,2,0.059885704644818336,0.004475503027018642,0.059885704644818336,0.1026619399788968,0.20415829276501996,0.2458358321241312,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,1,3,0.05667827619448714,0.004066282894965218,0.05667827619448714,0.09522688053298982,0.20550951499398004,0.2420466754100094,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,2,1,0.05868810298111249,0.004600413244381603,0.05868810298111249,0.099853386388527,0.2026819334156894,0.2807449993646399,0,211,211
hcp83,8,heat_norm18,atlas_random_mean,2,2,0.061275249459560165,0.004899687409401773,0.061275249459560165,0.1057147946141575,0.20234510738112416,0.2770468131164135,0,211,211
hcp83,8,heat_norm18,atlas_random_mean,2,3,0.0582480095359914,0.0045296070741846555,0.0582480095359914,0.10335033061440504,0.20163144972914562,0.2813853313317889,0,211,211
hcp83,8,heat_norm18,atlas_random_mean,3,1,0.059010596550184896,0.004536610898766746,0.059010596550184896,0.1115024007411604,0.21218767990104723,0.2244853598043883,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,3,2,0.0617723917469683,0.004880567722263458,0.0617723917469683,0.11577843569937576,0.2114105712874028,0.2263485422875545,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,3,3,0.058611688171568345,0.0044883254361942,0.058611688171568345,0.1110990177212102,0.20958663609165973,0.2335626905593603,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,4,1,0.057201082354256014,0.003970552892472824,0.057201082354256014,0.1011963263796828,0.16288947381484825,0.2009549984165289,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,4,2,0.059598026976736496,0.004268916595148656,0.059598026976736496,0.10335322725419972,0.16793117748550482,0.2010416245763991,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,4,3,0.056805159685061044,0.003915035024494794,0.056805159685061044,0.1017157566150352,0.16265389039423472,0.2006926205128737,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,5,1,0.05772904464822362,0.003993205062474865,0.05772904464822362,0.09926358993730834,0.15970846712768627,0.2253149323304183,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,5,2,0.060577578945781634,0.004354304306967907,0.060577578945781634,0.10472532061896783,0.1650456592013251,0.2273526050285006,0,213,213
hcp83,8,heat_norm18,atlas_random_mean,5,3,0.05763505653315198,0.003996293111874256,0.05763505653315198,0.09791141127331583,0.1600620625863941,0.2346386564586707,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,1,1,0.02457608764464708,0.000624140428642185,0.02457608764464708,0.03218104524549924,0.03729797794889773,0.0400361562625839,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,1,2,0.02739253748832122,0.0007761831590805502,0.02739253748832122,0.03512382911425371,0.042207795106573,0.0430570412587442,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,1,3,0.024346078920364833,0.0006080340994929211,0.024346078920364833,0.03127966457212962,0.03447790746841244,0.0357335464722526,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,2,1,0.024343581220994975,0.0006100260499983019,0.024343581220994975,0.03183278595567725,0.03493010747112405,0.0397651617407871,0,211,211
hcp83,8,heat_norm18,atlas_selected_aligned,2,2,0.028007417289807414,0.000815032308034846,0.028007417289807414,0.036308293182526194,0.04605149448558487,0.0549999974639583,0,211,211
hcp83,8,heat_norm18,atlas_selected_aligned,2,3,0.0246832383535762,0.0006243075556755772,0.0246832383535762,0.031623497538225145,0.03547171820853802,0.0366716694109365,0,211,211
hcp83,8,heat_norm18,atlas_selected_aligned,3,1,0.024881224681738742,0.0006525634539597182,0.024881224681738742,0.03240161014461858,0.04326253610824218,0.0777981725986299,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,3,2,0.027835022293288998,0.000808115616525153,0.027835022293288998,0.036539806017649154,0.044749599888458926,0.0673994853411426,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,3,3,0.02505279448706312,0.0006520853099795013,0.02505279448706312,0.033696863819140256,0.03800225020623859,0.0644482766898637,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,4,1,0.0251596616533837,0.0006553559378670291,0.0251596616533837,0.033731985705693586,0.040905781608137,0.0462714807203457,0,213,213
hcp83,8,heat_norm18,atlas_selected_aligned,4,2,0.02787553785304436,0.0008056844003413028,0.02787553785304436,0.036832578909187945,0.04436981794483479,0.0494863267259776,0,213,213
